sqft,price
10655,284
10000,16
7000,136.5
9179,193
10400,174
4928,143.75
12244,35
10197,163
8530,168.5
8125,88
10142,233
2522,13
24682,181
9531,211
6240,162.9
7200,11
6768,142
11214,199.9
4118,52.5
7742,127
11241,149
16158,26
9750,274.3
7200,133.9
13560,11
11883,23
11248,285
15660,311.5
12384,197.9
5868,129
10480,25
18030,2.5
8773,185.5
7500,185
2628,175.5
10800,16
3182,16.2
11457,175
9600,14
8930,112
9650,167.9
5105,148.8
7590,169.5
9525,144
10800,17
11362,28
10880,125
14115,187.5
10500,97
13518,485
7540,156
12108,118
11888,214.5
3196,215
10920,157
7795,188.5
8800,137.5
9819,196
5784,91.3
10134,19
11170,25
7150,1
10140,153.5
8846,148
6000,132.5
16226,267
10594,96.5
8120,124.5
10240,27.5
14006,192.5
10480,115
7200,138
9000,8
10421,196.5
6240,127.5
9842,189
7415,193
9364,158
8160,126
11250,223.5
8800,16
10846,324
9247,171
8400,136.5
8738,23
6951,119.5
17120,134.432
14226,395
14541,31
11275,22
8400,14
10000,157
8816,155
53107,24
10152,135
9473,237
12090,258
21930,192.14
6120,6
11404,222.5
8767,164.99
12342,139.9
13000,193.5
9196,21
6371,224
21453,18
8780,112
13132,138.887
6240,13
4500,165
10402,198.9
11911,174
17920,17
7851,216.5
18000,81
9803,226.7
11846,374
13478,451.95
6270,145
14450,415.298
13072,142.5
8750,2.5
9600,165.5
8000,141
10625,83
10768,218
9600,79
6040,82
13125,219.5
9020,168.5
9945,128.5
16659,235
9170,14
8400,156.5
10440,157.5
13286,32
13891,372.42
11426,2
6240,115
6900,12.5
11425,137
4571,98
11885,261.5
12772,151.5
16321,27.5
8400,227
3136,171.75
4224,129.9
9950,29
9600,178
7438,127
7500,133
6780,84.5
8125,186.5
13704,25
9991,15
15611,233.23
8089,392
9947,173
1533,97
10200,175
4608,8
31770,215
8963,299.8
9717,142.125
13265,271
11500,136.95
4671,189
7740,125.5
13125,155
53227,256
10237,169.99
9900,176
9600,175.5
7200,185
17104,179.665
3000,173.733
10800,179
11409,131
8450,21
11200,129.5
11923,239
6305,119.75
1869,16
14778,224
7420,132
14145,22.5
7800,132
11500,84
15256,282.922
6600,19.5
7200,124.9
5790,17.4
9855,127.5
7500,189
10690,147
11600,137.5
12243,175
17542,294
6240,8.5
13005,26
11310,14
12704,253.293
14230,256.3
57200,16
6292,91
12095,158
10852,173
8335,93
8176,139
9000,143
5330,82.5
12665,153.9
12886,175
5001,23
16669,228
5350,76.5
14587,264.132
11198,325
9750,213
10634,123
8000,132
8935,195
10000,227
8400,174
8877,1
3500,11
8450,179
11838,236.5
8737,21
10728,266
11065,281
9416,311.872
11600,145.25
46589,42
12203,336
7950,159.5
1680,118
11250,255.9
9069,147
12444,394.617
9600,139
7175,125
5062,27.5
6000,115
10839,181
13680,139.6
23595,26
9000,76
8800,15.5
10496,143
11751,19
4058,133
10141,185
8246,154
1680,112
9571,6
9187,134
8462,21
4435,131.5
7892,99.5
11228,228
21000,217
3922,172.5
8472,11
13006,222
10593,26.4
1680,89.5
8125,174
17871,197.9
7064,135
3684,174
9760,167.9
8100,153.5
5925,89.471
2280,179.4
13710,152
10665,226
9248,173
12378,36
10400,165.15
8724,129
11194,23.5
8190,119
11218,189
11988,188.7
12925,237.5
8339,16.5
2308,147
10400,152
2645,174
9591,317
7758,169.5
10335,24
5520,14
8773,169
10628,167
11616,139
8500,4
12209,215
2217,88
1680,94.5
9000,27
9920,269.79
3675,148
8400,129
8012,143
12735,111.25
7875,18
9828,239.5
7750,18
23257,274.725
8910,159.5
10041,22
17217,84.5
9464,136
8004,263.435
5400,117
8400,179.5
10440,256
12224,244
10791,9
11333,146.8
7728,132.5
1680,1
11341,121.5
9873,129
9588,276
9549,27
8500,179.6
7200,19.5
8820,124.9
9353,116.5
9206,178
11317,18
16056,556.581
9245,145
4017,171.9
11512,177
8248,116
7056,14
6240,149
7200,119
5000,39.3
27650,242
8814,23
8760,239.799
7892,153.9
10226,295.493
7134,13
6120,141.5
14215,325.3
7024,176
8635,127
14331,312.5
8063,181
9452,348
4438,144.5
5436,125.5
5362,139
12898,315.5
7658,319.9
3230,172.5
14559,164.9
10206,245
8731,144
11120,162.5
12822,239.686
14803,19
8450,28.5
4500,164
7390,135
12003,269.5
9350,179.9
39104,241.5
8070,123.6
11694,314.813
12122,178.4
25339,112
8400,138.5
9503,144
12342,82.5
9600,135
8450,142
9000,35.311
7590,155
10400,197.9
12435,231.5
9750,157.9
8400,6
9158,225
10005,192
11249,177.5
7875,139.95
15431,555
8923,134.5
8872,147
9022,19.5
14977,44
13125,238
28698,185
6882,127
1680,88
7018,153.337
9042,192
7642,189.95
11070,171
7200,133.9
9042,266.5
7128,164
